DATA=Galaxy 8_sm
GALAXY_SEED=-1364856541
+SYS_1064370863|SEED=-99277624:NAME=Propal
+OBJ_824086456|P=SYS_1064370863:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=101:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1192761036:SEED_D=-99277624:NAME=Zack's Soul
+OBJ_281833601|P=SYS_1064370863:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=131:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=72212374:SEED_D=-1317620015:NAME=Cryptic Sea
+OBJ_2075320882|P=SYS_1064370863:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=19:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=511327313:SEED_D=2010402414:NAME=Invictus
+OBJ_1765520514|P=SYS_1064370863:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=14:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1795316196:SEED_D=1338495437:NAME=Rampart:AI=3
+OBJ_1198104296|P=SYS_1064370863:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=19:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-595846975:SEED_D=-273958514:NAME=Almond Eyed
+OBJ_803985669|P=SYS_1064370863:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=-1901487736:SEED_D=1547589847
+SYS_1918027110|SEED=-99251034:NAME=Constantine
+OBJ_1837667866|P=SYS_1918027110:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=41:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1919949531:SEED_D=-99251034:NAME=Chesapeke
+OBJ_968668502|P=SYS_1918027110:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=43:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1804703022:SEED_D=-729821044:NAME=Fading to Grey
+OBJ_1295235726|P=SYS_1918027110:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=123:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-943242819:SEED_D=-432396533:NAME=Glib Tongue
+OBJ_1749048154|P=SYS_1918027110:DTYPE=1:DEFNAME=Private:DEFCLASS=B:MAX_SCRAP=30:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1973460365:SEED_D=-2144456200:NAME=Eos
