DATA=Galaxy 10_sm
GALAXY_SEED=-1164579867
+SYS_138782694|SEED=-108357734:NAME=Oberic
+OBJ_1726902804|P=SYS_138782694:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=1:DMIN=0.3333333:DMAX=0.6431373:SEED_C=831787747:SEED_D=-108357734:NAME=Fair Post
+OBJ_1052303885|P=SYS_138782694:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=3:DMIN=0.3333333:DMAX=0.6431373:SEED_C=-1298139976:SEED_D=370992667:NAME=Valedictory
+OBJ_694232316|P=SYS_138782694:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=3:DMIN=0.3333333:DMAX=0.6431373:SEED_C=-392483973:SEED_D=-1197407887:NAME=Stratford
+OBJ_225485560|P=SYS_138782694:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=2:DMIN=0.3333333:DMAX=0.6431373:SEED_C=-15389494:SEED_D=355723913:NAME=Gott
+OBJ_1788776264|P=SYS_138782694:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=4:DMIN=0.3333333:DMAX=0.6431373:SEED_C=-1836867906:SEED_D=-1685677901:NAME=Wan Chai
+OBJ_336404161|P=SYS_138782694:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=1:DMIN=0.3333333:DMAX=0.6431373:SEED_C=986301620:SEED_D=-438908897:NAME=Whangarei
+OBJ_1347061026|P=SYS_138782694:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=3:DMIN=0.3333333:DMAX=0.6431373:SEED_C=-1830120867:SEED_D=-692959656:NAME=Diacria
+OBJ_2040179594|P=SYS_138782694:DTYPE=4:DEFNAME=Trading Post:DMIN=0.3333333:DMAX=0.6431373:SEED_C=-1911050696:SEED_D=1068765949
+SYS_1039445558|SEED=-108143224:NAME=Brahma
+OBJ_1161210569|P=SYS_1039445558:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=12:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2313726:DMAX=0.5450981:SEED_C=-822869737:SEED_D=-108143224:NAME=Large Emerald
+OBJ_1864087303|P=SYS_1039445558:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=155:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2313726:DMAX=0.5450981:SEED_C=-2075956336:SEED_D=1327009832:NAME=Aphrodite
